tag,collaboration,category,channel,arxiv,doi,inspire_id,hepdata_id,direct_pdf,arxiv_pdf_status,arxiv_pdf_path,arxiv_source_status,arxiv_source_path,direct_pdf_status,direct_pdf_path
BNL_E821_2006_final_gminus2_PRD73_072003,Muon g-2,g-2 experiment,muon anomalous magnetic moment a_mu,hep-ex/0602035,10.1103/PhysRevD.73.072003,710962,,,exists,raw_papers/arxiv_pdf/BNL_E821_2006_final_gminus2_PRD73_072003_hep-ex_0602035.pdf,exists,raw_papers/arxiv_source/BNL_E821_2006_final_gminus2_PRD73_072003_hep-ex_0602035.tar,no_direct_pdf,
Fermilab_E989_2025_positive_muon_gminus2_127ppb,Muon g-2,g-2 experiment,positive muon anomalous magnetic moment a_mu,2506.03069,10.1103/7clf-sm2v,,,https://muon-g-2.fnal.gov/result2025.pdf,downloaded,raw_papers/arxiv_pdf/Fermilab_E989_2025_positive_muon_gminus2_127ppb_2506.03069.pdf,downloaded,raw_papers/arxiv_source/Fermilab_E989_2025_positive_muon_gminus2_127ppb_2506.03069.tar,error:HTTPError:403 Client Error: Forbidden for url: https://muon-g-2.fnal.gov/result2025.pdf,raw_papers/direct_pdf/Fermilab_E989_2025_positive_muon_gminus2_127ppb.pdf
CODATA_2022_fundamental_constants,CODATA/NIST,alpha reference,fine-structure constant alpha and alpha^-1,2409.03787,,,,https://physics.nist.gov/cuu/pdf/wallet_2022.pdf,exists,raw_papers/arxiv_pdf/CODATA_2022_fundamental_constants_2409.03787.pdf,exists,raw_papers/arxiv_source/CODATA_2022_fundamental_constants_2409.03787.tar,exists,raw_papers/direct_pdf/CODATA_2022_fundamental_constants.pdf
PDG_2024_electroweak_alpha_MZ,Particle Data Group,alpha(MZ) reference,"electroweak fit alpha^(5)(MZ), Delta alpha_had",,10.1103/PhysRevD.110.030001,,,https://pdg.lbl.gov/2024/reviews/rpp2024-rev-standard-model.pdf,no_arxiv,,no_arxiv,,exists,raw_papers/direct_pdf/PDG_2024_electroweak_alpha_MZ.pdf
KLOE_2005_pipi_gamma_PLB606_12,KLOE,exclusive hadronic channel,e+e- -> pi+ pi- gamma; extracted e+e- -> pi+ pi-,hep-ex/0407048,10.1016/j.physletb.2004.11.068,655225,ins655225,,exists,raw_papers/arxiv_pdf/KLOE_2005_pipi_gamma_PLB606_12_hep-ex_0407048.pdf,exists,raw_papers/arxiv_source/KLOE_2005_pipi_gamma_PLB606_12_hep-ex_0407048.tar,no_direct_pdf,
KLOE_2009_pipi_gamma_PLB670_285,KLOE,exclusive hadronic channel,e+e- -> pi+ pi- gamma(gamma); dipion contribution to a_mu,0809.3950,10.1016/j.physletb.2008.10.060,797438,ins797438,,exists,raw_papers/arxiv_pdf/KLOE_2009_pipi_gamma_PLB670_285_0809.3950.pdf,exists,raw_papers/arxiv_source/KLOE_2009_pipi_gamma_PLB670_285_0809.3950.tar,no_direct_pdf,
KLOE_2011_pipi_gamma_PLB700_102,KLOE,exclusive hadronic channel,e+e- -> pi+ pi- from threshold to 0.85 GeV^2 using ISR,1006.5313,10.1016/j.physletb.2011.04.055,859660,ins859660,,exists,raw_papers/arxiv_pdf/KLOE_2011_pipi_gamma_PLB700_102_1006.5313.pdf,exists,raw_papers/arxiv_source/KLOE_2011_pipi_gamma_PLB700_102_1006.5313.tar,no_direct_pdf,
KLOE_2008_omega_pi0_PLB669_223,KLOE,exclusive hadronic channel,e+e- -> omega pi0 near phi,0807.4909,10.1016/j.physletb.2008.09.056,791841,ins791841,,exists,raw_papers/arxiv_pdf/KLOE_2008_omega_pi0_PLB669_223_0807.4909.pdf,exists,raw_papers/arxiv_source/KLOE_2008_omega_pi0_PLB669_223_0807.4909.tar,no_direct_pdf,
BaBar_2005_4pi_KKpipi_KKKK_PRD71_052001,BaBar,exclusive hadronic channel,"e+e- -> pi+pi-pi+pi-, K+K-pi+pi-, K+K-K+K- using ISR",hep-ex/0502025,10.1103/PhysRevD.71.052001,676691,ins676691,,exists,raw_papers/arxiv_pdf/BaBar_2005_4pi_KKpipi_KKKK_PRD71_052001_hep-ex_0502025.pdf,exists,raw_papers/arxiv_source/BaBar_2005_4pi_KKpipi_KKKK_PRD71_052001_hep-ex_0502025.tar,no_direct_pdf,
BaBar_2006_6pi_KK4pi_PRD73_052003,BaBar,exclusive hadronic channel,"e+e- -> 3(pi+pi-), 2(pi+pi-pi0), K+K-2(pi+pi-) using ISR",hep-ex/0602006,10.1103/PhysRevD.73.052003,709730,ins709730,,exists,raw_papers/arxiv_pdf/BaBar_2006_6pi_KK4pi_PRD73_052003_hep-ex_0602006.pdf,exists,raw_papers/arxiv_source/BaBar_2006_6pi_KK4pi_PRD73_052003_hep-ex_0602006.tar,no_direct_pdf,
