tag,year,collaboration,hepdata_id,yaml_status,yaml_url,json_status,json_url,csv_status,csv_url
BaBar_2012_pipi_PRD86_032013,2012,BaBar,ins1114155,http_403:text/html; charset=UTF-8,https://www.hepdata.net/download/submission/ins1114155/1/yaml,http_403:text/html; charset=UTF-8,https://www.hepdata.net/download/submission/ins1114155/1/json,http_403:text/html; charset=UTF-8,https://www.hepdata.net/download/submission/ins1114155/1/csv
BESIII_2016_pipi_PLB753_629,2016,BESIII,ins1385603,http_403:text/html; charset=UTF-8,https://www.hepdata.net/download/submission/ins1385603/1/yaml,http_403:text/html; charset=UTF-8,https://www.hepdata.net/download/submission/ins1385603/1/json,http_403:text/html; charset=UTF-8,https://www.hepdata.net/download/submission/ins1385603/1/csv
CLEOc_2018_pipi_PRD97_032012,2018,CLEO-c,ins1643020,http_403:text/html; charset=UTF-8,https://www.hepdata.net/download/submission/ins1643020/1/yaml,http_403:text/html; charset=UTF-8,https://www.hepdata.net/download/submission/ins1643020/1/json,http_403:text/html; charset=UTF-8,https://www.hepdata.net/download/submission/ins1643020/1/csv
SND_2016_pi0gamma_PRD93_092001,2016,SND,ins1418483,http_403:text/html; charset=UTF-8,https://www.hepdata.net/download/submission/ins1418483/1/yaml,http_403:text/html; charset=UTF-8,https://www.hepdata.net/download/submission/ins1418483/1/json,http_403:text/html; charset=UTF-8,https://www.hepdata.net/download/submission/ins1418483/1/csv
SND_2021_pipi_JHEP01_113,2021,SND,ins1789269,http_403:text/html; charset=UTF-8,https://www.hepdata.net/download/submission/ins1789269/1/yaml,http_403:text/html; charset=UTF-8,https://www.hepdata.net/download/submission/ins1789269/1/json,http_403:text/html; charset=UTF-8,https://www.hepdata.net/download/submission/ins1789269/1/csv
