d,D,epsilon,L(-3,chi_D),3!/zeta_K(-3),leading_scale,residual
2,8,2.41421356237,11,65.4545454545,11.230224562068,-125.805774602698
3,12,3.73205080757,46,15.652173913,1.123775526122,-135.912223638643
5,5,1.61803398875,2,360,137.507764050038,0.471764885272
6,24,9.89897948557,522,1.37931034483,0.014076061154,-137.021923103612
7,28,15.9372539332,904,0.796460176991,0.003135718593,-137.032863446173
10,40,6.16227766017,3154,0.228281547242,0.006011575166,-137.029987589600
11,44,19.9498743711,4306,0.167208546215,0.000420124628,-137.035579040138
13,13,3.30277563773,58,12.4137931034,1.138010732740,-135.897988432026
14,56,29.9666295471,10012,0.0719137035557,0.000080082175,-137.035919082591
15,60,7.87298334621,12888,0.0558659217877,0.000901297784,-137.035097866981
17,17,8.12310562562,164,4.39024390244,0.066534124648,-136.969465040118
19,76,339.997058798,29866,0.024107680975,0.000000208548,-137.035998956218
21,21,4.79128784748,308,2.33766233766,0.101830354154,-136.934168810611
22,88,393.997461913,49778,0.0144642211419,0.000000093177,-137.035999071589
23,92,47.9791576166,56744,0.012688566192,0.000005511976,-137.035993652790
26,104,10.0990195136,87358,0.00824194693102,0.000080811169,-137.035918353596
29,29,5.19258240357,942,0.764331210191,0.028347502291,-137.007651662475
30,120,21.9544511501,145804,0.00493813612795,0.000010245140,-137.035988919626
